deviceId,timestamp,sensor1data,sensor2data,sensor3data,sensor4data,sensor5data
device_001,2025-03-08T00:00:00,4.426170904375903,29.071353616090967,57.204398849562544,44.478660269124326,8.7754926572286
device_001,2025-03-08T00:05:00,19.63541816197285,83.02506214852126,73.62694629586817,76.15815398936083,62.966914961623075
device_001,2025-03-08T00:10:00,46.93870288026362,86.28257009034078,92.15039080470643,92.3776353945878,22.669194673072425
device_001,2025-03-08T00:15:00,2.39518024336115,84.19090355588617,42.43226072796011,34.10260029437801,30.512450687883906
device_001,2025-03-08T00:20:00,6.764874137723254,34.867478121031816,93.36073183257328,77.7660461166418,8.124275204411923
device_001,2025-03-08T00:25:00,29.95771588194448,87.30688361742547,79.26380155848027,57.78046314906099,8.49903707891232
device_001,2025-03-08T00:30:00,73.72353077505053,61.3248630700201,43.57141879076213,73.75676923214284,61.166733979742695
device_001,2025-03-08T00:35:00,15.253098732478254,90.98883365736798,21.28074524454814,56.2020040012408,39.48839312757701
device_001,2025-03-08T00:40:00,96.6677934739743,33.8580155839624,74.97072773401389,6.137979036694841,4.108895656566314
device_001,2025-03-08T00:45:00,76.77982873692903,71.89839544228526,60.75083889354636,58.30535257247409,25.625041133932058
device_001,2025-03-08T00:50:00,6.727940235842855,27.260040535123466,10.449499545306484,90.52053171340097,29.56766693402484
device_001,2025-03-08T00:55:00,25.53493221994615,94.77346466632926,10.104078867570799,87.19353202304738,57.510965444100314
device_001,2025-03-08T01:00:00,63.27149983001289,86.63587324685071,6.959224298940625,9.701113612478329,48.85807911617258
device_001,2025-03-08T01:05:00,42.33575038892441,91.43019196964418,25.583244927641424,78.55406046263182,64.07699418664146
device_001,2025-03-08T01:10:00,32.25777175576745,22.112040018658096,86.57523430188192,44.235770039013246,84.64492707742592
device_001,2025-03-08T01:15:00,42.2665446282516,11.568610549122294,87.46316687659902,24.726899453644247,44.68907915084615
device_001,2025-03-08T01:20:00,38.430951317092386,0.19818303900015488,67.07285148829368,60.388833878734985,45.00645772662494
device_001,2025-03-08T01:25:00,66.80311823652644,21.73372719562572,4.536944658698205,88.22039162842954,70.22209461334991
device_001,2025-03-08T01:30:00,63.45748721985007,69.11640553805029,15.341307282705863,60.840962142066736,88.26269994934754
device_001,2025-03-08T01:35:00,19.90435976200774,6.135096931198591,33.55850011194524,4.214637992663095,15.977657421607594
device_001,2025-03-08T01:40:00,21.108545628242904,10.656084683693656,97.4716970214307,53.353957290169305,82.94596342100168
device_001,2025-03-08T01:45:00,44.582804384182396,39.267765936441855,99.01910179048606,19.144259486207005,97.8104302938724
device_001,2025-03-08T01:50:00,66.58568273259922,25.374571729169382,39.52033054458216,54.38832820902629,66.6480080772607
device_001,2025-03-08T01:55:00,66.00957131864618,35.33113517699196,96.08276333857062,51.04484779772436,76.90309196933836
